,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,Overall Rating
1,Tyreek Hill,119.0,1799.0,13.0,29.0,9.0,78.0,83.0,69.8,-1.0,652.0,171.0,0.9301990180340166
2,Amon-Ra St. Brown,119.0,1515.0,10.0,24.0,3.0,70.0,75.0,63.0,-1.0,668.0,164.0,0.7944125878763258
3,Evan Engram,114.0,963.0,4.0,9.0,0.0,34.0,47.0,41.2,-3.0,516.0,143.0,0.46599689953330237
4,Michael Pittman,109.0,1152.0,4.0,10.0,3.0,75.0,53.0,48.6,-1.0,513.0,156.0,0.6254472514463225
5,Keenan Allen,108.0,1243.0,7.0,19.0,1.0,42.0,56.0,51.8,-2.0,396.0,150.0,0.5830757023102051
6,Stefon Diggs,107.0,1183.0,8.0,10.0,2.0,55.0,58.0,54.2,-2.0,399.0,160.0,0.5908545633040259
7,A.J. Brown,106.0,1456.0,7.0,21.0,3.0,59.0,70.0,66.0,-2.0,473.0,158.0,0.6780647597669843
8,Puka Nacua,105.0,1486.0,6.0,25.0,3.0,80.0,68.0,64.8,-1.0,639.0,160.0,0.7552009482294306
9,Davante Adams,103.0,1144.0,8.0,13.0,2.0,46.0,59.0,57.3,-0.0,336.0,175.0,0.6503100683767645
10,Adam Thielen,103.0,1014.0,4.0,9.0,0.0,32.0,56.0,54.4,-2.0,334.0,137.0,0.48284188100223313
11,Ja'Marr Chase,100.0,1216.0,7.0,14.0,4.0,76.0,63.0,63.0,-1.0,541.0,145.0,0.6884686327768299
12,DJ Moore,96.0,1364.0,8.0,25.0,2.0,58.0,64.0,66.7,-1.0,539.0,136.0,0.6960442957158005
13,T.J. Hockenson,95.0,960.0,5.0,13.0,0.0,29.0,48.0,50.5,-1.0,336.0,127.0,0.5036848988562262
14,Garrett Wilson,95.0,1042.0,3.0,11.0,2.0,68.0,47.0,49.5,-2.0,327.0,168.0,0.5336598218328652
15,Travis Kelce,93.0,984.0,5.0,12.0,2.0,53.0,50.0,53.8,-1.0,470.0,120.0,0.5634122405761702
16,Chris Olave,87.0,1123.0,5.0,16.0,3.0,51.0,57.0,65.5,-0.0,347.0,138.0,0.6279637432697153
17,Sam LaPorta,86.0,889.0,10.0,8.0,2.0,48.0,48.0,55.8,-0.0,358.0,120.0,0.5857420028916155
