Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Overall Rating
Christian McCaffrey,1459,272,14,9,3,72,83,30.5,-2,0.794043595584476
Derrick Henry,1167,280,12,5,2,69,63,22.5,0,0.6862379727728909
Kyren Williams,1144,228,12,7,1,56,62,27.2,-2,0.6274237953868333
James Cook,1122,237,2,6,1,42,53,22.4,-3,0.5131141385658042
D'Andre Swift,1049,229,5,6,1,43,50,21.8,-2,0.5316961356072677
James Conner,1040,208,7,11,1,44,57,27.4,0,0.6268713828346679
Najee Harris,1035,255,8,8,0,25,50,19.6,-2,0.5361499108217181
Joe Mixon,1034,257,9,3,1,44,59,23.0,0,0.5751920702107348
David Montgomery,1015,219,13,4,2,75,59,26.9,-2,0.6278395282732872
Raheem Mostert,1012,209,18,7,2,49,59,28.2,-2,0.6590043565427165
Travis Etienne,1008,267,11,6,1,62,53,19.8,0,0.6271399562142634
Tony Pollard,1005,252,6,6,0,31,56,22.2,-1,0.5297185272327389
Breece Hall,994,223,5,7,4,83,40,17.9,-2,0.6261678102227669
Rachaad White,990,272,6,3,0,38,46,16.9,-2,0.4819434759259082
Bijan Robinson,976,214,4,7,0,38,50,23.4,-4,0.4738219482133848
Saquon Barkley,962,247,6,7,0,36,51,20.6,-2,0.5190357316329447
Jahmyr Gibbs,945,182,10,10,0,36,42,23.1,-2,0.5376915002675761
Isiah Pacheco,935,205,7,6,1,48,53,25.8,-1,0.5520182744093641
Kenneth Walker III,905,219,8,7,1,45,46,21.0,-1,0.553749662775458
Chuba Hubbard,902,238,5,4,0,22,59,24.8,0,0.49988248466712076
Devin Singletary,898,216,4,3,0,24,40,18.5,-1,0.43189426471155173
Lamar Jackson,821,148,5,4,0,30,48,32.4,-4,0.4108172281463341
Jerome Ford,813,204,4,5,2,69,33,16.2,-1,0.5206494942309142
Gus Edwards,810,198,13,6,1,42,49,24.8,-2,0.5518049631283262
Josh Jacobs,805,233,6,3,2,63,34,14.6,-2,0.5046272225951539
De'Von Achane,800,103,8,8,5,76,30,29.1,-1,0.6189113205582978
Zack Moss,794,183,5,6,2,56,43,23.5,0,0.5473823456789282
Jaylen Warren,784,149,4,6,1,74,36,24.2,-3,0.4779833315359372
Javonte Williams,774,217,3,2,0,21,41,18.9,0,0.41770465181675864
Jonathan Taylor,741,169,7,4,2,49,42,24.8,-1,0.5104193908379029
Brian Robinson,733,178,5,4,0,29,46,25.8,-3,0.417411050721189
Alexander Mattison,700,180,0,1,0,21,28,15.6,-2,0.32309355552990665
Alvin Kamara,694,180,5,0,0,17,42,23.3,0,0.3912025750669661
Tyler Allgeier,683,186,4,2,0,31,39,21.0,0,0.4148914293910565
Justin Fields,657,124,4,4,0,39,43,34.7,-3,0.40046663901380086
Aaron Jones,656,142,2,3,0,39,34,23.9,-1,0.3857309985377249
Ezekiel Elliott,642,184,3,0,0,17,32,17.4,-1,0.34425744673967756
Austin Ekeler,628,179,5,3,1,55,34,19.0,-3,0.4256906997043112
Rhamondre Stevenson,619,156,4,1,1,64,36,23.1,-1,0.4308723440522254
AJ Dillon,613,178,2,1,1,40,32,18.0,0,0.4029740085135052
Khalil Herbert,611,132,2,5,0,38,25,18.9,0,0.39228465826455405
Jalen Hurts,605,157,15,2,0,24,68,43.3,-4,0.4723162642421964
Josh Allen,524,111,15,1,0,23,57,51.4,-5,0.4187689454091587
Zach Charbonnet,462,108,1,4,0,23,32,29.6,0,0.3608523440634726
Ty Chandler,461,102,3,3,0,31,20,19.6,0,0.34185146293024876
Tyjae Spears,453,100,2,3,0,23,24,24.0,0,0.3361430795537431
Zamir White,451,104,1,2,1,43,19,18.3,-1,0.33912071405065825
Miles Sanders,432,129,1,1,1,48,24,18.6,-2,0.3374380223419
D'Onta Foreman,425,109,4,1,0,22,24,22.0,-1,0.3141427824144191
Joshua Dobbs,421,77,6,6,1,44,31,40.3,-7,0.3649082989235815
Dameon Pierce,416,145,2,1,0,22,14,9.7,0,0.3007001853440478
Kareem Hunt,411,135,9,0,0,16,38,28.2,0,0.375860690457752
Jaleel McLaughlin,410,76,1,4,0,38,16,21.0,0,0.32900400140135644
Joshua Kelley,405,107,2,2,1,49,21,19.6,-1,0.3534463656167273
Taysom Hill,401,81,4,3,0,27,26,32.1,-1,0.34057500982523015
Keaton Mitchell,396,47,2,7,2,60,19,40.4,0,0.4459991629767735
